-1 13-0-0-0 12-1-0-0 11-2-0-0 10-3-0-0 9-4-0-0 8-5-0-0 7-6-0-0 11-1-1-0 10-2-1-0 9-3-1-0 8-4-1-0 7-5-1-0 6-6-1-0 9-2-2-0 8-3-2-0 7-4-2-0 6-5-2-0 7-3-3-0 6-4-3-0 5-5-3-0 5-4-4-0 10-1-1-1 9-2-1-1 8-3-1-1 7-4-1-1 6-5-1-1 8-2-2-1 7-3-2-1 6-4-2-1 5-5-2-1 6-3-3-1 5-4-3-1 4-4-4-1 7-2-2-2 6-3-2-2 5-4-2-2 5-3-3-2 4-4-3-2 4-3-3-3
0 0 0 0 0 0 3 8 0 0 2 34 149 129 3 111 618 1391 440 3397 2588 3853 0 4 116 684 1562 213 3595 13127 9579 9915 45303 11373 1094 17330 38695 60419 91313 46872
1 0 0 0 0 3 13 23 0 0 23 181 507 367 18 492 1976 4078 1562 8763 6052 8903 0 57 542 2222 4443 897 11599 32776 22995 24962 100093 24091 3266 42108 84212 127442 182153 92033
2 0 0 0 0 1 16 45 0 3 46 305 900 676 30 789 3408 7056 2538 15235 10733 15526 0 85 879 3771 7667 1523 19070 56273 40085 42719 172877 41193 5367 71166 145553 218788 314502 158004
3 0 0 0 2 15 47 95 0 11 176 843 2104 1430 119 2141 7543 13743 5577 29319 19975 28910 3 293 2331 8080 14983 3838 41446 108517 74433 81818 314919 73594 11724 135984 261715 390449 550914 274495
4 0 0 0 4 20 91 153 0 20 235 1238 3399 2337 216 3230 11882 22285 8911 46806 32176 45870 9 436 3597 12789 24839 5689 64217 171334 117565 127148 494555 115183 17419 211177 410153 607517 859470 424004
5 0 0 0 2 29 130 255 0 38 403 2077 5014 3354 319 4963 17173 31794 12899 65985 45222 62862 7 712 5431 19020 34831 9040 93085 238483 161017 175259 669406 155293 25637 291123 549751 812846 1135321 557278
6 0 0 0 10 63 201 308 2 84 680 2823 6826 4584 535 7096 23508 41810 17161 85750 57720 80987 24 1212 7848 25306 45610 12703 123685 305930 207338 225609 844432 196151 33668 369579 691998 1018795 1416994 693470
7 0 0 0 13 84 230 485 1 85 846 3723 8877 5869 705 9210 29920 52736 21954 107084 72861 99837 38 1585 9880 32664 56958 16545 156321 382075 256291 279769 1036136 238373 42705 459183 850096 1241241 1714958 837388
8 0 0 0 18 93 326 509 3 117 940 4334 9986 6837 793 10129 33670 60002 24292 120754 81210 111916 35 1651 10954 36048 64591 17655 171351 424497 285695 310018 1153784 266494 46611 503353 938426 1372962 1897519 921570
9 0 0 0 15 100 351 578 7 114 1090 4730 11005 7157 846 11407 36412 64125 26477 129081 86268 119003 40 1902 12327 39090 69614 19955 187122 453535 302550 328933 1214828 277841 50312 536156 987925 1438071 1977738 960332
10 0 0 4 21 115 372 585 7 190 1312 5283 11730 7570 1090 12216 37560 65882 27582 131132 87665 120433 73 2349 13018 40352 70962 20999 190443 458641 305630 332029 1219543 279588 51236 539057 991700 1441835 1979620 961222
11 0 0 1 12 99 328 588 1 118 1061 4698 10816 7098 836 10750 35184 62232 25923 124196 83242 114720 51 1759 11521 37594 66470 18757 176938 433886 289503 314750 1163845 266801 48037 511663 942943 1370799 1892667 919326
12 0 0 2 14 92 284 523 1 93 883 4150 9879 6480 727 9576 31668 56347 22558 112242 75233 102922 29 1572 10049 33696 60195 16180 157076 388314 261099 282233 1043710 240038 42661 456883 847399 1232261 1697986 823550
13 0 0 2 10 85 264 433 0 89 793 3508 8222 5407 668 8341 26869 47755 19488 95583 64458 88579 28 1338 8945 28603 50633 14097 135849 332065 223652 242125 897388 205745 36450 393468 728910 1062180 1465641 713213
14 0 0 0 11 58 208 375 1 71 661 2818 6449 4304 545 6631 21405 38707 15558 77948 52292 72478 21 1038 6929 23114 41412 11475 109301 270240 183229 197089 738025 171116 29289 322092 601493 878234 1216668 591643
15 0 0 0 2 31 129 244 1 26 387 1773 4640 3222 297 4456 15537 29049 11480 58480 39752 55009 13 660 4800 17012 30668 7868 80346 206530 140702 151189 572714 132821 22028 247898 468799 686991 958363 468284
16 0 0 0 3 25 70 142 0 16 249 1270 3192 2241 210 3084 11243 20800 8303 43057 29411 40689 14 429 3446 12154 22722 5639 58997 152302 104344 112235 428263 99429 15891 184371 351144 516744 723882 353957
17 0 0 0 3 11 40 90 0 11 143 850 2116 1325 134 2084 7279 13813 5603 29444 20005 28574 3 321 2316 8071 15021 3660 40665 105911 72612 79008 303611 71596 11211 130802 250682 372140 523380 259153
18 0 0 0 0 2 19 36 0 11 80 430 1138 813 75 1198 4488 8633 3388 18416 13226 18498 3 146 1344 5042 9566 2340 26179 70594 48069 52585 205728 48155 7513 88137 171333 256617 363179 180542
19 0 0 0 0 1 12 18 0 1 39 260 573 429 42 632 2623 5203 1963 11239 8079 11476 0 76 763 3020 5879 1287 15535 43269 30431 32691 131779 31320 4430 55635 110686 167214 239218 120036
20 0 0 0 0 1 4 9 0 5 12 81 316 222 21 323 1458 2805 1122 6341 4605 6598 0 40 396 1618 3352 726 9132 26463 18303 20091 80915 19507 2629 34278 69157 105628 150925 76852
21 0 0 0 0 0 0 0 0 0 6 39 126 93 5 167 652 1396 530 3344 2392 3740 0 20 202 841 1734 334 4968 14529 10186 11214 46999 11645 1474 19491 40529 63256 91354 46579
22 0 0 0 0 0 0 0 0 0 3 11 57 37 2 50 288 692 240 1606 1200 1731 0 7 82 360 837 196 2430 7636 5372 5866 25498 6294 749 11002 22635 35582 52268 27313
23 0 0 0 0 0 0 0 0 0 0 6 21 13 0 22 103 270 109 767 577 881 0 1 41 190 406 65 1212 3686 2760 3014 13186 3302 348 5502 11891 19304 28948 15121
24 0 0 0 0 0 0 0 0 0 0 0 4 4 0 15 32 76 32 289 214 369 0 1 18 76 168 41 513 1764 1269 1441 6331 1636 155 2827 6069 9872 14840 7884
25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 12 30 14 106 79 142 0 0 3 26 59 5 203 747 525 622 2983 747 72 1272 2897 4818 7323 3930
26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 6 38 21 50 0 0 1 6 21 5 75 280 207 253 1201 330 19 538 1196 2126 3275 1912
27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 5 2 13 0 0 0 3 4 2 31 108 64 89 464 140 10 203 549 945 1447 836
28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 0 0 0 0 2 1 10 20 16 36 164 45 2 73 196 322 624 327
29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6 5 10 58 17 1 30 82 137 227 131
30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 13 5 0 9 15 36 84 52
31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 2 4 10 20 15
32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 9 2
33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0
34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Total output: 100000000
Generated 100000000 deals
