S H D C Bid Vul Combo NO -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 avg ParPos ParNeg noPar b000 b001 b010 b011 b100 b101 b110 b111 b1xx bx1x bxx1 
(KQJ765) 6532 54 2 S EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
(KQJ765) 6532 54 2 S -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
(KQJ765) 6532 54 2 S ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
(KQJ765) 6532 54 2 S NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
(KQJ765) 6532 2 54 S EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
(KQJ765) 6532 2 54 S -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
(KQJ765) 6532 2 54 S ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
(KQJ765) 6532 2 54 S NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 40 0 0 40 0 20 0 0 20 40 60 
(KQJ765) 54 6532 2 S EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
(KQJ765) 54 6532 2 S -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
(KQJ765) 54 6532 2 S ++ KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 0 20 4.8 40 20 40 0 20 0 20 0 40 0 20 60 40 100 
(KQJ765) 54 6532 2 S NS KQJ765 0 0 0 0 0 0 0 0 0 0 20 40 40 0 0 4.2 20 0 80 20 20 0 40 0 20 0 0 20 40 80 
(KQJ765) 2 6532 54 S EW KQJ765 0 0 0 0 0 0 0 0 0 0 0 40 40 0 20 5 60 40 0 0 0 0 0 0 60 0 40 100 40 100 
(KQJ765) 2 6532 54 S -- KQJ765 0 0 0 0 0 0 0 0 0 0 0 60 20 20 0 4.6 40 0 60 0 40 0 20 0 40 0 0 40 20 100 
